Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Anna,ресторан,Рестораны,"улица Бутлерова, 39",1 этаж,420012,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,53,89033053221,,,,,,,,,,,,,,,55.7893,49.133872,https://2gis.com/firm/70000001088245287,branch
Aquarium,ресторан,Рестораны; Бары,"улица Островского, 33",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.0,30,88432260707,,,,,http://www.hotelart.ru/restoran,,,,https://wa.me/79872260707,,,https://t.me/aquarest,,,55.787509,49.117882,https://2gis.com/firm/2956015537046043,branch
Atelier Mira,коктейльный бар,Рестораны,"улица Баумана, 9а",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 18:00-01:00; Вт: 18:00-01:00; Ср: 18:00-01:00; Чт: 18:00-01:00; Пт: 18:00-03:00; Сб: 18:00-03:00; Вс: 18:00-01:00,+03:00,5.0,2,89953328313,,,,,,,,,,,,,,,55.793084,49.111815,https://2gis.com/firm/70000001110779394,branch
Aura,ресторан,Рестораны,"улица Рихарда Зорге, 68",1 этаж,420138,Горки-3 м-н,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.0,163,88432535364,89033055364,,,,http://aurakzn.ru,,,https://vk.com/club33941644,https://wa.me/79033055364,,,https://t.me/+79033055364,,,55.747687,49.211113,https://2gis.com/firm/2956015537073405,branch
Big Butcher,гриль-бар,Рестораны; Бары; Доставка еды,"улица Пушкина, 54/1",1 этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00 (служба доставки: пн-вс 12:00-22:00),+03:00,4.7,229,89872260966,,,,,http://bigbutcher.ru,,,https://vk.com/bigbutchergrill,https://wa.me/79872260966,,,https://t.me/+79872260966,,,55.794602,49.12548,https://2gis.com/firm/70000001028572288,branch
Branch,ресторан авторской кухни,Рестораны; Бары,"улица Дзержинского, 6Б",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.7,195,89274109809,,,rest@branchgroup.ru,,http://branchgroup.ru,,,,,,,https://t.me/branchrest,,,55.795505,49.113218,https://2gis.com/firm/70000001040846781,branch
Branch bistro,ресторан авторской кухни,Рестораны; Кафе,"улица Сибгата Хакима, 62",1 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 08:30-21:00; Вс: 08:30-21:00,+03:00,4.9,62,89274339809,,,bistro@branchgroup.ru,,http://branchgroup.ru,,,,https://wa.me/79274339809,,,https://t.me/Branchbistro,,,55.815597,49.144021,https://2gis.com/firm/70000001101562944,branch
Buffalo,стейк-бар,Рестораны,"Петербургская улица, 1",2 этаж; гостиница Гранд отель Казань,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,1.6,5,88432211025,,,,,http://kazanhotelgroup.ru/restaurants/steyk-bar-buffalo,,,,,,,,,,55.785811,49.12595,https://2gis.com/firm/70000001057596453,branch
Caviar,караоке-ресторан,Рестораны; Караоке-залы,"Спартаковская улица, 12",2 этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-01:00,+03:00,4.7,343,88432151012,89872151012,,,,http://Caviarkazan.ru,,,https://vk.com/caviarkazan,https://wa.me/79872151012,,,https://t.me/+79872151012,,,55.778233,49.131937,https://2gis.com/firm/70000001028152950,branch
Cheeseria,ресторан-сыроварня,Рестораны; Сыры; Доставка еды; Банкетные залы,"Аграрная улица, 52","1, 2 этаж",420061,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.9,916,89196830030,89196830050,,,,,,,,https://wa.me/79196830030,,,,,,55.793975,49.203398,https://2gis.com/firm/70000001043312903,branch
Cheeseria,ресторан-сыроварня,Рестораны; Доставка еды,"улица Баумана, 44/8",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 09:00-03:00; Сб: 09:00-03:00; Вс: 08:00-24:00,+03:00,4.9,1589,89196301050,,,,,http://t.me/cheeseria1,,,,,,,,,,55.791527,49.11199,https://2gis.com/firm/70000001035398258,branch
Dia,ресторан,Рестораны,"Профсоюзная улица, 10",,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.9,619,89375221014,,,,,http://diagreekrest.ru,,,,https://wa.me/79375221014,,,,,,55.792516,49.113079,https://2gis.com/firm/70000001093968813,branch
Divine,ресторан,Рестораны,"улица Карла Маркса, 42а",1 этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00,+03:00,5.0,7,88435777654,89867170043,,divinekazan@gmail.com,,http://divine-kazan.ru,,,https://vk.com/club235427365,https://wa.me/79874102018,,,https://t.me/+79874102018,,,55.79593,49.126898,https://2gis.com/firm/70000001103831270,branch
Divine,ресторан,Рестораны; Банкетные залы,"улица Нурсултана Назарбаева, 35а",2 этаж,420059,,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.5,71,89874102018,,,restaurant@davidov-hotel.ru,,http://t.me/divine_rest,,,https://vk.com/club235427365,https://wa.me/79874102018,,,https://t.me/divine_rest,,,55.77105,49.13877,https://2gis.com/firm/70000001065091828,branch
Dolina,гастробар,Рестораны; Бары,"улица Рашида Нежметдинова, 1а",1 этаж; рядом с магазином Чижик,420083,Светлая Долина жилой комплекс,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-01:00,+03:00,4.9,191,88432254704,,,,,http://dolinafamily.ru,,,,https://wa.me/79872254704,,,https://t.me/+79872254704,,,55.799015,49.24392,https://2gis.com/firm/70000001094436250,branch
Dysha rest lounge,ресторан,Рестораны,"улица Калинина, 16",1 этаж,420043,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-01:00,+03:00,4.8,500,89846611616,89991647070,,,,http://dusha-rest-lounge.ru,http://t.me/spacekzn,,,,,,https://t.me/+79846611616,,,55.781853,49.140671,https://2gis.com/firm/70000001063916222,branch
Eshak,ресторан,Рестораны; Доставка еды,"улица Павлюхина, 91",2 этаж,420059,,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.8,3158,89061200070,,,kazan.eshak@yandex.ru,,http://kazan.eshak.ru,http://t.me/eshak_kz,,https://vk.com/eshak_kazan,,,,https://t.me/eshak_kazan,,,55.768285,49.147215,https://2gis.com/firm/70000001046464804,branch
Extra Lounge,панорамный ресторан на крыше,Рестораны,"улица Николая Ершова, 1а",25 этаж,420061,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+03:00,4.8,2086,89016348685,,,extraproject@yandex.ru,,http://extraproject.ru/extralounge,,,https://vk.com/extralounge,https://wa.me/79625737343,,,,,,55.793581,49.14947,https://2gis.com/firm/2956016536706118,branch
Fields Premier,ресторан,Рестораны; Кондитерские изделия,"улица Алексея Козина, 9",1 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.6,55,89274042024,,,,,http://fields-cafe.ru,,,https://vk.com/fields.cafe,https://wa.me/79274042024,,,,,,55.814564,49.139276,https://2gis.com/firm/70000001094604655,branch
Forsing,караоке-ресторан,Рестораны; Караоке-залы; Банкетные залы,"Оренбургский тракт, 5Б",2 этаж,420059,,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 18:00-24:00; Вт: 18:00-24:00; Ср: 18:00-24:00; Чт: 18:00-24:00; Пт: 18:00-02:00; Сб: 16:00-02:00; Вс: 16:00-24:00,+03:00,4.3,43,88435333999,,,,,http://forsingkzn.ru,,,https://vk.com/forsingkzn,https://wa.me/79196214797,,,https://t.me/+79196214797,,,55.760979,49.156075,https://2gis.com/firm/2956015536508581,branch
Frank by Баста,ресторан,Рестораны,"улица Баумана, 36",,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.8,326,88432160999,,,,,http://frankmeat.ru,,,https://vk.com/frankbybasta,,,,https://t.me/frankbybastanews,,,55.792889,49.110114,https://2gis.com/firm/70000001112739260,branch
Frank by Баста,ресторан,Рестораны,"Петербургская улица, 9а",,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.8,508,88432160999,,,,,http://frankmeat.ru,,,https://vk.com/frankbybasta,,,,https://t.me/frankbybastanews,,,55.784769,49.126759,https://2gis.com/firm/70000001103445663,branch
Gabdulla Tukai Lounge,лаунж-ресторан,Рестораны,"Аэропорт, терминал 2",2 этаж,420017,,,,Лаишевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.1,97,89178764756,,,,,,,,,,,,,,,55.609792,49.293885,https://2gis.com/firm/70000001031581677,branch
Gala,ресторан,Рестораны; Доставка еды; Караоке-залы; Бары; Банкетные залы,"Московская улица, 36",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-24:00,+03:00,4.7,639,89395095509,89961233347 (бронирование банкетов),,,,http://t.me/restobar_gala,,,,https://wa.me/79961233347,,,https://t.me/restobar_gala_kzn,,,55.788551,49.10758,https://2gis.com/firm/70000001039668541,branch
Garden cafe,ресторан,Рестораны,"улица Право-Булачная, 49",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,4.8,136,88432121330,,,a.abdullina@luciano.ru,,http://gardencafe.rest,,,,,,,https://t.me/+79178714105,,,55.786709,49.115917,https://2gis.com/firm/70000001082615863,branch
Gina,итальянский ресторан,Рестораны,"улица Николая Столбова, 1/3",1 этаж,420021,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,3.9,139,88435030050,89395030050,,,,http://gina.finegroup.rest/,,,,,,,,,,55.785848,49.113767,https://2gis.com/firm/70000001061077304,branch
Graal,,Рестораны,"улица Баумана, 36",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.6,19,89870052525,,,,,http://graalrest.ru,,,,https://wa.me/79870052525,,,https://t.me/graalitameshi,,,55.793047,49.109839,https://2gis.com/firm/70000001110772447,branch
HEMINGWAY,рыбный ресторан среднеземноморской кухни,Рестораны; Рыба и морепродукты; Доставка еды,"улица Баумана, 36",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.8,185,89600842059,,,kazan_hemingway@mail.ru,hemingway-rest@mail.ru,http://hemingway.rest,,,https://vk.com/hemingway_kazan,https://wa.me/79600842059,,,,,,55.793281,49.109368,https://2gis.com/firm/70000001007312944,branch
HookahPlace Avangard,,Рестораны; Центры паровых коктейлей; Бары; Кафе,"проспект Ямашева, 100г",1 этаж,420133,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-01:00,+03:00,5.0,401,89534978826,,,,,http://hp-avangard.ru/?utm_source=2gis&utm_medium=map,,,,https://wa.me/79534978826,,,https://t.me/+79534978826,,,55.826691,49.153933,https://2gis.com/firm/70000001069254656,branch
Ichi By ReLab,азиатский барный квартал,Рестораны; Бары,"улица Баумана, 9а",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+03:00,4.7,181,89869082007,,,,,,,,,https://wa.me/79869082007,,,https://t.me/+79869082007,,,55.792656,49.112777,https://2gis.com/firm/70000001062541165,branch
iL Патио,ресторан,Рестораны; Пиццерии; Доставка еды,"Аэропорт, терминал 1А",2 этаж,420017,,,,Лаишевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,424,89655977880,84996660400 (служба доставки),,,,http://ilpatio.ru,,,https://vk.com/ilpatio_ru,,,,https://t.me/il_patio,,,55.606925,49.301703,https://2gis.com/firm/70000001031558049,branch
Italiano,семейный ресторан-пиццерия,Рестораны; Доставка еды; Пиццерии,"улица Юлиуса Фучика, 64е",1 этаж,420141,Горки-2 м-н,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.3,505,88435580920 (ресторан),,,,,http://italiano-rest.ru/,,,https://vk.com/italiano.rt_kazan,,,,,,,55.753205,49.231994,https://2gis.com/firm/2956015536499907,branch
Izakaya bereg,ресторан,Рестораны; Бары; Доставка еды,"Меридианная улица, 2",1 этаж,420124,Берег жилой комплекс,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.9,1166,88435587887,,,,,http://delivery.izakaya-bereg.ru,http://izakaya-bereg.ru,,https://vk.com/izakaya.bereg,https://wa.me/79870057393,,,https://t.me/izakayabereg,,,55.816923,49.116709,https://2gis.com/firm/70000001060545408,branch
Kazanda,ресторан,Рестораны; Бары,"улица Калинина, 3Б",1 этаж,420043,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.5,28,89869090106,,,,,http://kazanpalace.com/restaurants-and-bars/kazanda-lounge/,,,https://vk.com/kazanpalacebytasigo,https://wa.me/79869090106,,,https://t.me/kazandalounge,,,55.782637,49.137676,https://2gis.com/firm/70000001040192989,branch
Kedr,ресторан,Рестораны; Доставка еды,"улица Чернышевского, 21",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.7,242,88432100022,,,,,http://kedr.rest,,,https://vk.com/kedr_restaurant,https://wa.me/78432100022,,,,,,55.791997,49.109238,https://2gis.com/firm/70000001021259723,branch
Kitap club,ресторан,Рестораны,"улица Баумана, 19",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,4.4,230,88432947040,,,,,http://kitap-klub.tilda.ws,,,https://vk.com/kitapclub,,,,,,,55.791099,49.11436,https://2gis.com/firm/70000001058678608,branch
Kremlin,ресторан национальной татарской кухни,Рестораны; Доставка еды; Банкетные залы,"Профсоюзная улица, 4",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,1029,88432937070,89375850505,89375805050,kremlin.kazan@mail.ru,,http://kremlin-kazan.ru,,,https://vk.com/restkremlin,https://wa.me/79375805050,,,https://t.me/+79375805050,,,55.793867,49.109796,https://2gis.com/firm/2956015536651710,branch
Kuji,ресторан,Рестораны; Суши-бары; Доставка еды,"Университетская улица, 5",1 этаж,420500,,,Иннополис,Верхнеуслонский район,Республика Татарстан,Россия,Пн: 11:30-21:00; Вт: 11:30-21:00; Ср: 11:30-21:00; Чт: 11:30-21:00; Пт: 11:30-21:30; Сб: 11:00-21:30; Вс: 11:00-21:00,+03:00,4.3,121,89872292083,,,,,http://kujisushi.ru,,,,https://wa.me/79872292083,,,https://t.me/kuji_inno,,,55.751955,48.748905,https://2gis.com/firm/70000001059090841,branch
La Casa,ресторан,Рестораны; Банкетные залы; Доставка еды,"улица Муштари, 24",,420012,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.4,129,88432448382,,,,,http://la-casa.rest,,,,https://wa.me/79300357392,,,,,,55.792932,49.13523,https://2gis.com/firm/70000001095131104,branch
